"","id","arena","n_trial","behaviour2","type","hp_presence","duration_test","duration","prop_duration"
"1","lehan01",2,1,"nf","NS","n",13,12,0.923076923076923
"3","ledy35",2,1,"nf","S","n",25,6,0.24
"5","ledy35",2,1,"nf","S","y",25,2,0.08
"8","leto01",3,2,"ef","S","n",29,19,0.655172413793103
"10","lehan01",2,2,"nf","NS","n",38,18,0.473684210526316
"12","lehan01",2,2,"nf","NS","y",38,19,0.5
"18","ledou07",2,1,"nf","S","n",44,13,0.295454545454545
"20","ledou07",2,1,"fe","S","y",44,4,0.0909090909090909
"21","ledou07",2,1,"nf","S","y",44,5,0.113636363636364
"27","ledy23",2,3,"nf","S","n",76,4,0.0526315789473684
"29","ledy23",2,3,"fe","S","y",76,43,0.565789473684211
"30","ledy23",2,3,"nf","S","y",76,13,0.171052631578947
"32","lebe03",3,2,"nf","S","n",77,8,0.103896103896104
"34","lebe03",3,2,"fe","S","y",77,2,0.025974025974026
"35","lebe03",3,2,"nf","S","y",77,38,0.493506493506494
"37","ledo05",3,3,"nf","NS","n",111,5,0.045045045045045
"39","ledo05",3,3,"fe","NS","y",111,61,0.549549549549549
"40","ledo05",3,3,"nf","NS","y",111,10,0.0900900900900901
"42","lebo05",2,2,"ef","S","n",121,6,0.0495867768595041
"43","lebo05",2,2,"nf","S","n",121,9,0.0743801652892562
"45","lebo05",2,2,"nf","S","y",121,3,0.0247933884297521
"56","ledy09",4,2,"ef","NS","n",212,15,0.0707547169811321
"57","ledy09",4,2,"nf","NS","n",212,9,0.0424528301886792
"59","ledy09",4,2,"ef","NS","y",212,17,0.080188679245283
"60","ledy09",4,2,"fe","NS","y",212,101,0.476415094339623
"61","ledy09",4,2,"nf","NS","y",212,6,0.0283018867924528
"64","ledy28",3,1,"fe","S","n",219,196,0.894977168949772
"65","ledy28",3,1,"nf","S","n",219,20,0.091324200913242
"68","ledy06",2,4,"nf","S","n",245,32,0.130612244897959
"70","ledy06",2,4,"nf","S","y",245,11,0.0448979591836735
"80","lewa01",3,3,"nf","NS","n",269,15,0.0557620817843866
"93","ledy26",3,2,"ef","S","n",334,55,0.164670658682635
"94","ledy26",3,2,"nf","S","n",334,121,0.362275449101796
"96","ledy26",3,2,"ef","S","y",334,4,0.0119760479041916
"97","ledo02",2,1,"fe","S","n",353,156,0.441926345609065
"98","ledo02",2,1,"nf","S","n",353,20,0.056657223796034
"101","lefe01",2,1,"nf","S","n",428,20,0.0467289719626168
"103","lefe01",2,1,"fe","S","y",428,308,0.719626168224299
"104","lefe01",2,1,"nf","S","y",428,85,0.198598130841121
"106","levir01",2,2,"nf","NS","n",450,7,0.0155555555555556
"108","levir01",2,2,"fe","NS","y",450,440,0.977777777777778
"109","levir01",2,2,"nf","NS","y",450,2,0.00444444444444444
"111","ledy27",2,2,"ef","S","n",506,6,0.0118577075098814
"112","ledy27",2,2,"nf","S","n",506,17,0.033596837944664
"116","ledy27",2,2,"nf","S","y",506,7,0.0138339920948617
"121","ledy55",4,5,"ef","NS","n",511,50,0.0978473581213307
"122","ledy55",4,5,"nf","NS","n",511,18,0.0352250489236791
"124","ledy55",4,5,"ef","NS","y",511,155,0.303326810176125
"125","ledy55",4,5,"fe","NS","y",511,9,0.0176125244618395
"126","ledy55",4,5,"nf","NS","y",511,72,0.140900195694716
"129","lehan02",3,3,"nf","S","n",553,22,0.0397830018083183
"131","lehan02",3,3,"fe","S","y",553,382,0.690777576853526
"132","lehan02",3,3,"nf","S","y",553,67,0.121157323688969
"135","lefe03",2,1,"nf","S","n",584,11,0.0188356164383562
"137","lefe03",2,1,"fe","S","y",584,1,0.00171232876712329
"138","lefe03",2,1,"nf","S","y",584,569,0.974315068493151
"140","lemo01",2,1,"ef","NS","n",598,17,0.0284280936454849
"141","lemo01",2,1,"nf","NS","n",598,13,0.0217391304347826
"143","lemo01",2,1,"walk","NS","n",598,89,0.148829431438127
"144","lebo02",2,2,"ef","S","n",601,5,0.00831946755407654
