"","PlotObservationID","Cover..","Cover.code","Cover.abundance.scale","Relevé.area..m..","Longitude","Latitude","sdate","syear","macroarea","distance"
"1",524319,3,"1","Braun/Blanquet (old)",-1,4.928329,49.8501,1983-01-01,1983,9,0
"2",524320,3,"1","Braun/Blanquet (old)",-1,4.877929,49.8825,1983-01-01,1983,9,0
"3",524321,13,"2","Braun/Blanquet (old)",-1,5.039929,49.8177,1983-01-01,1983,9,6128.74476519736
"4",524323,2,"+","Braun/Blanquet (old)",-1,4.915729,49.8654,1983-01-01,1983,9,0
"5",524324,3,"1","Braun/Blanquet (old)",-1,4.915729,49.8654,1983-01-01,1983,9,0
"6",524325,3,"1","Braun/Blanquet (old)",-1,5.017429,49.7925,1983-01-01,1983,9,7596.62125343463
"7",524326,3,"1","Braun/Blanquet (old)",NA,4.954429,49.842,1983-01-01,1983,9,843.949532713134
"8",524327,3,"1","Braun/Blanquet (old)",-1,4.986829,49.8042,1983-01-01,1983,9,5530.65664793392
"9",524328,3,"1","Braun/Blanquet (old)",-1,4.967029,49.8492,1983-01-01,1983,9,347.624812910506
"10",556614,2,"+","Braun/Blanquet (old)",30,4.220029,50.0751,1990-01-01,1990,25,6552.74347594432
"11",556614,2,"+","Braun/Blanquet (old)",30,4.220029,50.0751,1990-01-01,1990,25,6552.74347594432
"12",556625,3,"1","Braun/Blanquet (old)",30,4.219129,50.0769,1990-01-01,1990,25,6631.46924418778
"13",556626,3,"1","Braun/Blanquet (old)",30,4.211929,50.0769,1990-01-01,1990,25,7145.02336618743
"14",556627,38,"3","Braun/Blanquet (old)",50,4.213729,50.0787,1990-01-01,1990,25,7035.88409949377
"15",595696,13,"2","Braun/Blanquet (old)",NA,3.535129,50.454,1994-01-01,1994,14,8623.64323116105
"16",595716,2,"+","Braun/Blanquet (old)",NA,3.535129,50.454,1994-01-01,1994,14,8623.64323116105
"17",600514,2,"+","Braun/Blanquet (old)",NA,4.606129,50.0454,1989-01-01,1989,2,0
"18",637647,13,"2","Braun/Blanquet (old)",NA,4.812229,49.9041,1984-01-01,1984,9,3358.85807266844
"19",650460,2,"+","Braun/Blanquet (old)",NA,4.828429,50.1273,2002-01-01,2002,2,0
"20",655923,2,"+","Braun/Blanquet (old)",NA,4.192129,50.0625,1991-01-01,1991,25,8600.76745609331
"21",NA,0,NA,NA,NA,4.606129,50.0454,1981-01-01,1981,2,0
"22",NA,0,NA,NA,NA,4.608829,50.1354,1981-01-01,1981,2,0
"23",NA,0,NA,NA,NA,5.732929,50.2038,1981-01-01,1981,16,0
"24",NA,0,NA,NA,NA,5.563729,49.6683,1981-01-01,1981,21,0
"25",NA,0,NA,NA,NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"26",NA,0,NA,NA,NA,5.559229,49.5783,1981-01-01,1981,21,1595.63868352582
"27",NA,0,NA,NA,NA,5.168629,50.1264,1981-01-01,1981,17,2092.816947232
"28",NA,0,NA,NA,NA,5.702329,49.6647,1981-01-01,1981,21,2674.89870184771
"29",NA,0,NA,NA,NA,5.592529,50.2074,1981-01-01,1981,16,3272.65633587847
"30",NA,0,NA,NA,NA,4.469329,50.1372,1981-01-01,1981,1,3390.10495880134
"31",NA,0,NA,NA,NA,5.317129,50.3028,1981-01-01,1981,3,3850.95371952933
"32",NA,0,NA,NA,NA,5.447629,50.1201,1981-01-01,1981,6,4095.5047019487
"33",NA,0,NA,NA,NA,4.772629,50.7627,1981-01-01,1981,12,4391.26463426591
"34",NA,0,NA,NA,NA,5.568229,49.7583,1981-01-01,1981,21,4842.72824167254
"35",NA,0,NA,NA,NA,5.582629,50.0274,1981-01-01,1981,6,5753.99617504177
"36",NA,0,NA,NA,NA,5.164129,50.0364,1981-01-01,1981,17,6181.34661550295
"37",NA,0,NA,NA,NA,4.624129,50.5845,1981-01-01,1981,4,6588.98961050578
"38",NA,0,NA,NA,NA,5.308129,50.1237,1981-01-01,1981,17,8431.83525515692
"39",NA,0,NA,NA,NA,5.189329,50.5755,1981-01-01,1981,7,9185.53813293939
"40",NA,0,NA,NA,NA,5.91942,50.828136,1981-08-12,1981,5,9737.66254156604
"41",NA,0,NA,NA,NA,2.953729,50.6664,1982-01-01,1982,13,7359.35272876129
"42",NA,0,NA,NA,NA,2.933929,50.6574,1982-01-01,1982,13,7772.91900079772
"43",NA,0,NA,NA,NA,2.941129,50.6556,1982-01-01,1982,13,8118.55747824034
"44",NA,0,NA,NA,NA,2.928529,50.652,1982-01-01,1982,13,8256.07680678293
"45",NA,0,NA,NA,NA,4.795129,50.1093,1983-01-01,1983,2,0
"46",NA,0,NA,NA,NA,4.928329,49.8501,1983-01-01,1983,9,0
"47",NA,0,NA,NA,NA,4.886929,49.8645,1983-01-01,1983,9,0
"48",NA,0,NA,NA,NA,4.915729,49.8654,1983-01-01,1983,9,0
"49",NA,0,NA,NA,NA,4.913929,49.8663,1983-01-01,1983,9,0
"50",NA,0,NA,NA,NA,4.877929,49.8825,1983-01-01,1983,9,0
"51",NA,0,NA,NA,NA,4.967029,49.8492,1983-01-01,1983,9,347.624812910506
"52",NA,0,NA,NA,NA,4.954429,49.842,1983-01-01,1983,9,843.949532713134
"53",NA,0,NA,NA,NA,5.006629,49.8402,1983-01-01,1983,9,2674.24521674046
"54",NA,0,NA,NA,NA,5.002129,49.8114,1983-01-01,1983,9,5223.9441556562
"55",NA,0,NA,NA,NA,4.986829,49.8042,1983-01-01,1983,9,5530.65664793392
"56",NA,0,NA,NA,NA,5.039929,49.8177,1983-01-01,1983,9,6128.74476519736
"57",NA,0,NA,NA,NA,5.059729,49.8249,1983-01-01,1983,9,6537.4638291802
"58",NA,0,NA,NA,NA,5.006629,49.7979,1983-01-01,1983,9,6715.57621072111
"59",NA,0,NA,NA,NA,5.030029,49.8042,1983-01-01,1983,9,6913.61787603639
"60",NA,0,NA,NA,NA,5.017429,49.7925,1983-01-01,1983,9,7596.62125343463
"61",NA,0,NA,NA,NA,4.501667,50.774722,1983-05-31,1983,12,9643.50658042308
"62",NA,0,NA,NA,NA,4.498611,50.783056,1983-05-31,1983,12,9808.13773085264
"63",NA,0,NA,NA,NA,4.508056,50.766111,1983-06-01,1983,12,9323.90571587898
"64",NA,0,NA,NA,NA,4.5075,50.765,1983-06-02,1983,12,9384.22259068032
"65",NA,0,NA,NA,NA,4.63,50.676389,1983-06-06,1983,26,588.647997838632
"66",NA,0,NA,NA,NA,4.525,50.630278,1983-06-09,1983,26,6922.09942271136
"67",NA,0,NA,NA,NA,4.746111,50.633889,1983-06-11,1983,4,860.452112090883
"68",NA,0,NA,NA,NA,4.621667,50.693056,1983-06-11,1983,26,936.036268353474
"69",NA,0,NA,NA,NA,4.622778,50.693056,1983-06-11,1983,26,972.183474200832
"70",NA,0,NA,NA,NA,4.666944,50.659444,1983-06-11,1983,26,3677.62448525806
"71",NA,0,NA,NA,NA,4.6875,50.666389,1983-06-11,1983,26,4784.49394621068
"72",NA,0,NA,NA,NA,4.621667,50.6925,1983-06-15,1983,26,881.026464437486
"73",NA,0,NA,NA,NA,4.651389,50.662778,1983-06-16,1983,26,2530.01007780188
"74",NA,0,NA,NA,NA,4.67778,50.658333,1983-06-16,1983,26,4417.84768373484
"75",NA,0,NA,NA,NA,4.498889,50.782222,1983-06-21,1983,12,9790.66440198737
"76",NA,0,NA,NA,NA,4.95278,50.784167,1983-06-22,1983,8,9947.85575690337
"77",NA,0,NA,NA,NA,5.748833,50.79284,1983-07-24,1983,19,2805.95045787799
"78",NA,0,NA,NA,NA,5.748833,50.79284,1983-07-25,1983,19,2805.95045787799
"79",NA,0,NA,NA,NA,5.748903,50.801829,1983-07-25,1983,19,2954.74358301324
"80",NA,0,NA,NA,NA,5.748833,50.79284,1983-07-26,1983,19,2805.95045787799
"81",NA,0,NA,NA,NA,5.748833,50.79284,1983-07-27,1983,19,2805.95045787799
"82",NA,0,NA,NA,NA,5.748903,50.801829,1983-07-27,1983,19,2954.74358301324
"83",NA,0,NA,NA,NA,4.693429,49.9707,1984-01-01,1984,2,0
"84",NA,0,NA,NA,NA,4.835629,50.04,1984-01-01,1984,2,0
"85",NA,0,NA,NA,NA,4.722229,50.058,1984-01-01,1984,2,0
"86",NA,0,NA,NA,NA,4.759129,50.0634,1984-01-01,1984,2,0
"87",NA,0,NA,NA,NA,4.813129,50.0958,1984-01-01,1984,2,0
"88",NA,0,NA,NA,NA,4.864429,50.1057,1984-01-01,1984,2,0
"89",NA,0,NA,NA,NA,5.732929,50.2038,1984-01-01,1984,16,0
"90",NA,0,NA,NA,NA,4.598029,49.9653,1984-01-01,1984,2,2609.26773111279
"91",NA,0,NA,NA,NA,4.812229,49.9023,1984-01-01,1984,9,3346.79498478217
"92",NA,0,NA,NA,NA,4.812229,49.9041,1984-01-01,1984,9,3358.85807266844
"93",NA,0,NA,NA,NA,4.812229,49.842,1984-01-01,1984,9,5307.82862766707
"94",NA,0,NA,NA,NA,4.785229,49.8609,1984-01-01,1984,9,6040.63020377879
"95",NA,0,NA,NA,NA,4.624129,50.5845,1984-01-01,1984,4,6588.98961050578
"96",NA,0,NA,NA,NA,4.825729,49.788,1984-01-01,1984,9,9037.4691398329
"97",NA,0,NA,NA,NA,5.748833,50.79284,1984-05-28,1984,19,2805.95045787799
"98",NA,0,NA,NA,NA,5.748833,50.79284,1984-06-21,1984,19,2805.95045787799
"99",NA,0,NA,NA,NA,5.748833,50.79284,1984-07-27,1984,19,2805.95045787799
"100",NA,0,NA,NA,NA,3.731111,50.481667,1985-06-06,1985,14,0
"101",NA,0,NA,NA,NA,3.691389,50.492778,1985-06-06,1985,14,0
"102",NA,0,NA,NA,NA,4.612778,50.704444,1985-06-13,1985,26,1958.19585382626
"103",NA,0,NA,NA,NA,4.517778,50.759722,1985-07-10,1985,12,8800.24128521766
"104",NA,0,NA,NA,NA,4.621667,50.6925,1985-10-29,1985,26,881.026464437486
"105",NA,0,NA,NA,NA,4.743829,49.8627,1986-01-01,1986,9,8802.84370463901
"106",NA,0,NA,NA,NA,5.732929,50.2038,1988-01-01,1988,16,0
"107",NA,0,NA,NA,NA,3.523429,50.4405,1988-01-01,1988,14,9901.15838699054
"108",NA,0,NA,NA,NA,4.606129,50.0454,1989-01-01,1989,2,0
"109",NA,0,NA,NA,NA,5.732929,50.2038,1989-01-01,1989,16,0
"110",NA,0,NA,NA,NA,4.469329,50.1372,1989-01-01,1989,1,3390.10495880134
"111",NA,0,NA,NA,NA,4.329829,50.1381,1989-01-01,1989,25,6395.26133982902
"112",NA,0,NA,NA,NA,4.331629,50.2281,1989-01-01,1989,1,8740.98060939902
"113",NA,0,NA,NA,NA,4.220029,50.0751,1990-01-01,1990,25,6552.74347594432
"114",NA,0,NA,NA,NA,4.219129,50.0769,1990-01-01,1990,25,6631.46924418778
"115",NA,0,NA,NA,NA,4.213729,50.0787,1990-01-01,1990,25,7035.88409949377
"116",NA,0,NA,NA,NA,4.211929,50.0769,1990-01-01,1990,25,7145.02336618743
"117",NA,0,NA,NA,NA,5.933189,50.792116,1990-05-24,1990,5,5786.12654739337
"118",NA,0,NA,NA,NA,5.946936,50.756094,1990-05-25,1990,5,2124.4433686837
"119",NA,0,NA,NA,NA,5.933189,50.792116,1990-05-25,1990,5,5786.12654739337
"120",NA,0,NA,NA,NA,5.933189,50.792116,1990-06-04,1990,5,5786.12654739337
"121",NA,0,NA,NA,NA,4.193029,50.0634,1991-01-01,1991,25,8525.32334079858
"122",NA,0,NA,NA,NA,4.192129,50.0625,1991-01-01,1991,25,8600.76745609331
"123",NA,0,NA,NA,NA,4.191229,50.0697,1991-01-01,1991,25,8606.57952944739
"124",NA,0,NA,NA,NA,5.707143,50.814087,1992-07-01,1992,19,1306.90756178431
"125",NA,0,NA,NA,NA,5.983352,50.777935,1992-07-01,1992,5,5489.62706919288
"126",NA,0,NA,NA,NA,5.94737,50.792048,1992-07-01,1992,5,5949.42257071471
"127",NA,0,NA,NA,NA,5.943905,50.798806,1992-07-01,1992,5,6635.7265056944
"128",NA,0,NA,NA,NA,5.920094,50.824987,1992-07-01,1992,5,9387.26742348488
"129",NA,0,NA,NA,NA,4.486429,50.6763,1993-01-01,1993,26,7584.64233293016
"130",NA,0,NA,NA,NA,3.535129,50.454,1994-01-01,1994,14,8623.64323116105
"131",NA,0,NA,NA,NA,3.534229,50.445,1994-01-01,1994,14,9003.81868429862
"132",NA,0,NA,NA,NA,5.805315,50.765683,1994-05-25,1994,5,6980.37522576717
"133",NA,0,NA,NA,NA,5.983386,50.780632,1994-07-01,1994,5,5744.17582781019
"134",NA,0,NA,NA,NA,4.466629,50.0472,1995-01-01,1995,2,6335.34683022049
"135",NA,0,NA,NA,NA,4.192129,50.0976,1995-01-01,1995,25,8962.93107036868
