"","PlotObservationID","Cover..","Cover.code","Cover.abundance.scale","Relevé.area..m..","Longitude","Latitude","sdate","syear","macroarea","distance"
"1",426567,3,"1","Braun/Blanquet (old)",4,4.517778,50.759722,1985-07-10,1985,12,8800.24128521766
"2",426568,2,"+","Braun/Blanquet (old)",4,4.501667,50.774722,1983-05-31,1983,12,9643.50658042308
"3",426588,3,"1","Braun/Blanquet (old)",4,3.691389,50.492778,1985-06-06,1985,14,0
"4",515844,13,"2","Braun/Blanquet (old)",NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"5",515844,2,"+","Braun/Blanquet (old)",NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"6",515846,3,"1","Braun/Blanquet (old)",NA,5.168629,50.1264,1981-01-01,1981,17,2092.816947232
"7",515848,13,"2","Braun/Blanquet (old)",NA,5.447629,50.1201,1981-01-01,1981,6,4095.5047019487
"8",515850,2,"+","Braun/Blanquet (old)",NA,5.168629,50.1264,1981-01-01,1981,17,2092.816947232
"9",515855,2,"+","Braun/Blanquet (old)",NA,5.447629,50.1201,1981-01-01,1981,6,4095.5047019487
"10",515877,2,"+","Braun/Blanquet (old)",NA,5.582629,50.0274,1981-01-01,1981,6,5753.99617504177
"11",515878,2,"+","Braun/Blanquet (old)",NA,5.592529,50.2074,1981-01-01,1981,16,3272.65633587847
"12",515880,3,"1","Braun/Blanquet (old)",NA,4.608829,50.1354,1981-01-01,1981,2,0
"13",515881,2,"+","Braun/Blanquet (old)",NA,4.606129,50.0454,1981-01-01,1981,2,0
"14",515881,2,"+","Braun/Blanquet (old)",NA,4.606129,50.0454,1981-01-01,1981,2,0
"15",515882,3,"1","Braun/Blanquet (old)",NA,5.164129,50.0364,1981-01-01,1981,17,6181.34661550295
"16",515882,2,"+","Braun/Blanquet (old)",NA,5.164129,50.0364,1981-01-01,1981,17,6181.34661550295
"17",515886,2,"+","Braun/Blanquet (old)",NA,5.559229,49.5783,1981-01-01,1981,21,1595.63868352582
"18",515888,2,"+","Braun/Blanquet (old)",NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"19",515888,2,"+","Braun/Blanquet (old)",NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"20",515888,3,"1","Braun/Blanquet (old)",NA,4.630429,50.7645,1981-01-01,1981,12,1215.21745642527
"21",515892,2,"+","Braun/Blanquet (old)",NA,4.469329,50.1372,1981-01-01,1981,1,3390.10495880134
"22",515892,3,"1","Braun/Blanquet (old)",NA,4.469329,50.1372,1981-01-01,1981,1,3390.10495880134
"23",515895,2,"+","Braun/Blanquet (old)",NA,4.772629,50.7627,1981-01-01,1981,12,4391.26463426591
"24",515895,3,"1","Braun/Blanquet (old)",NA,4.772629,50.7627,1981-01-01,1981,12,4391.26463426591
